Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2016",,,,,,,,,,,,, release date: 12/18/2018
,,,,,,,,,,,,,
"SOURCE: 2016 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID: CBDRB-FY19-117).,,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
02,Alaska,07:  100-499,339,"1,154","40,918",G,"2,175,468",G,,,,,
02,Alaska,08:  <500,"16,408","17,943","141,147",G,"7,124,700",G,,,,,
02,Alaska,09:  500+,651,"3,134","124,925",G,"8,114,495",G,,,,,
04,Arizona,01:  Total,"106,963","139,134","2,379,409",G,"106,431,260",G,,,,,
04,Arizona,02:  0-4,"63,733","63,803","96,811",G,"4,570,554",G,,,,,
04,Arizona,03:  5-9,"16,648","16,794","110,022",G,"3,937,783",G,,,,,
04,Arizona,04:  10-19,"10,651","11,043","142,411",G,"5,093,149",G,,,,,
04,Arizona,05:  <20,"91,032","91,640","349,244",G,"13,601,486",G,,,,,
04,Arizona,06:  20-99,"9,986","12,184","373,662",G,"13,857,999",G,,,,,
04,Arizona,07:  100-499,"2,662","6,743","316,322",G,"13,549,367",G,,,,,
04,Arizona,08:  <500,"103,680","110,567","1,039,228",G,"41,008,852",G,,,,,
04,Arizona,09:  500+,"3,283","28,567","1,340,181",G,"65,422,408",G,,,,,
05,Arkansas,01:  Total,"50,511","65,611","1,023,854",G,"40,969,051",G,,,,,
05,Arkansas,02:  0-4,"28,515","28,555","47,733",G,"1,792,602",G,,,,,
05,Arkansas,03:  5-9,"8,913","8,971","58,461",G,"1,814,997",G,,,,,
05,Arkansas,04:  10-19,"5,291","5,575","69,998",G,"2,259,793",G,,,,,
05,Arkansas,05:  <20,"42,719","43,101","176,192",G,"5,867,392",G,,,,,
05,Arkansas,06:  20-99,"4,766","6,470","176,319",G,"5,826,362",G,,,,,
05,Arkansas,07:  100-499,"1,195","3,697","137,986",G,"4,937,756",G,,,,,
05,Arkansas,08:  <500,"48,680","53,268","490,497",G,"16,631,510",G,,,,,
05,Arkansas,09:  500+,"1,831","12,343","533,357",G,"24,337,541",G,,,,,
06,California,01:  Total,"751,982","922,477","14,600,349",G,"886,643,923",G,,,,,
06,California,02:  0-4,"465,078","465,846","731,400",G,"43,110,073",G,,,,,
06,California,03:  5-9,"124,595","125,830","819,252",G,"33,834,977",G,,,,,
06,California,04:  10-19,"76,973","80,213","1,028,048",G,"43,740,209",G,,,,,
06,California,05:  <20,"666,646","671,889","2,578,700",G,"120,685,259",G,,,,,
06,California,06:  20-99,"65,829","81,348","2,509,428",G,"120,108,727",G,,,,,
06,California,07:  100-499,"13,316","38,031","2,041,076",G,"117,356,679",G,,,,,
06,California,08:  <500,"745,791","791,268","7,129,204",G,"358,150,665",G,,,,,
06,California,09:  500+,"6,191","131,209","7,471,145",G,"528,493,258",G,,,,,
08,Colorado,01:  Total,"136,351","165,264","2,318,190",G,"120,398,734",G,,,,,
08,Colorado,02:  0-4,"86,746","86,834","127,021",G,"6,211,257",G,,,,,
08,Colorado,03:  5-9,"19,815","19,958","130,501",G,"5,210,325",G,,,,,
08,Colorado,04:  10-19,"12,532","12,918","166,640",G,"6,545,951",G,,,,,
08,Colorado,05:  <20,"119,093","119,710","424,162",G,"17,967,533",G,,,,,
08,Colorado,06:  20-99,"11,133","13,318","402,236",G,"16,768,961",G,,,,,
08,Colorado,07:  100-499,"2,778","6,222","290,804",G,"15,049,217",G,,,,,
08,Colorado,08:  <500,"133,004","139,250","1,117,202",G,"49,785,711",G,,,,,
08,Colorado,09:  500+,"3,347","26,014","1,200,988",G,"70,613,023",G,,,,,
09,Connecticut,01:  Total,"71,526","89,416","1,533,879",G,"94,658,647",G,,,,,
09,Connecticut,02:  0-4,"39,493","39,563","67,899",G,"3,380,010",G,,,,,
09,Connecticut,03:  5-9,"12,898","13,030","84,913",G,"3,662,390",G,,,,,
09,Connecticut,04:  10-19,"7,846","8,127","104,726",G,"4,950,750",G,,,,,
09,Connecticut,05:  <20,"60,237","60,720","257,538",G,"11,993,150",G,,,,,
09,Connecticut,06:  20-99,"7,114","8,415","260,368",G,"13,475,174",G,,,,,
09,Connecticut,07:  100-499,"1,900","4,533","232,551",G,"12,678,999",G,,,,,
09,Connecticut,08:  <500,"69,251","73,668","750,457",G,"38,147,323",G,,,,,
09,Connecticut,09:  500+,"2,275","15,748","783,422",G,"56,511,324",G,,,,,
10,Delaware,01:  Total,"20,390","25,366","400,069",G,"21,196,371",G,,,,,
10,Delaware,02:  0-4,"11,281","11,310","17,696",G,"852,281",G,,,,,
10,Delaware,03:  5-9,"3,002","3,037","19,768",G,"785,324",G,,,,,
10,Delaware,04:  10-19,"2,052","2,149","27,137",G,"1,140,818",G,,,,,
10,Delaware,05:  <20,"16,335","16,496","64,601",G,"2,778,423",G,,,,,
10,Delaware,06:  20-99,"2,069","2,443","71,987",G,"3,067,269",G,,,,,
10,Delaware,07:  100-499,596,"1,186","50,968",G,"2,559,753",G,,,,,
10,Delaware,08:  <500,"19,000","20,125","187,556",G,"8,405,445",G,,,,,
10,Delaware,09:  500+,"1,390","5,241","212,513",G,"12,790,926",G,,,,,
11,District of Columbia,01:  Total,"18,095","23,177","526,879",G,"39,833,690",G,,,,,
11,District of Columbia,02:  0-4,"8,335","8,352","14,186",G,"1,117,334",G,,,,,
11,District of Columbia,03:  5-9,"2,832","2,847","18,573",G,"1,237,391",G,,,,,
11,District of Columbia,04:  10-19,"1,951","2,003","25,513",G,"1,767,703",G,,,,,
11,District of Columbia,05:  <20,"13,118","13,202","58,272",G,"4,122,428",G,,,,,
11,District of Columbia,06:  20-99,"2,523","2,733","89,578",G,"5,806,959",G,,,,,
11,District of Columbia,07:  100-499,"1,044","1,559","99,611",G,"7,107,082",G,,,,,
11,District of Columbia,08:  <500,"16,685","17,494","247,461",G,"17,036,469",G,,,,,
11,District of Columbia,09:  500+,"1,410","5,683","279,418",G,"22,797,221",G,,,,,
12,Florida,01:  Total,"445,126","546,218","8,169,642",G,"363,336,322",G,,,,,
12,Florida,02:  0-4,"304,447","304,788","459,040",G,"19,199,742",G,,,,,
12,Florida,03:  5-9,"62,593","63,114","409,783",G,"15,034,431",G,,,,,
12,Florida,04:  10-19,"36,441","37,577","485,077",G,"17,902,943",G,,,,,
12,Florida,05:  <20,"403,481","405,479","1,353,900",G,"52,137,116",G,,,,,
12,Florida,06:  20-99,"30,077","36,397","1,127,172",G,"43,640,620",G,,,,,
12,Florida,07:  100-499,"6,807","17,566","916,859",G,"40,836,985",G,,,,,
12,Florida,08:  <500,"440,365","459,442","3,397,931",G,"136,614,721",G,,,,,
12,Florida,09:  500+,"4,761","86,776","4,771,711",G,"226,721,601",G,,,,,
13,Georgia,01:  Total,"177,410","228,330","3,804,433",G,"182,911,144",G,,,,,
13,Georgia,02:  0-4,"108,426","108,604","170,082",G,"7,381,587",G,,,,,
13,Georgia,03:  5-9,"27,528","27,792","180,873",G,"6,531,658",G,,,,,
13,Georgia,04:  10-19,"17,013","17,583","227,000",G,"8,491,496",G,,,,,
13,Georgia,05:  <20,"152,967","153,979","577,955",G,"22,404,741",G,,,,,
13,Georgia,06:  20-99,"15,948","19,277","586,286",G,"23,148,343",G,,,,,
13,Georgia,07:  100-499,"4,248","9,858","473,651",G,"21,940,666",G,,,,,
13,Georgia,08:  <500,"173,163","183,114","1,637,892",G,"67,493,750",G,,,,,
13,Georgia,09:  500+,"4,247","45,216","2,166,541",G,"115,417,394",G,,,,,
15,Hawaii,01:  Total,"25,331","32,350","528,415",G,"22,892,445",G,,,,,
15,Hawaii,02:  0-4,"13,928","13,969","23,884",G,"1,123,016",G,,,,,
15,Hawaii,03:  5-9,"4,488","4,546","29,457",G,"1,072,156",G,,,,,
15,Hawaii,04:  10-19,"2,683","2,822","35,979",G,"1,357,393",G,,,,,
15,Hawaii,05:  <20,"21,099","21,337","89,320",G,"3,552,565",G,,,,,
15,Hawaii,06:  20-99,"2,563","3,502","97,652",G,"3,731,325",G,,,,,
15,Hawaii,07:  100-499,670,"1,988","88,143",G,"3,718,148",G,,,,,
15,Hawaii,08:  <500,"24,332","26,827","275,115",G,"11,002,038",G,,,,,
15,Hawaii,09:  500+,999,"5,523","253,300",G,"11,890,407",G,,,,,
16,Idaho,01:  Total,"38,436","45,826","562,282",G,"22,243,275",G,,,,,
16,Idaho,02:  0-4,"23,165","23,190","35,791",G,"1,346,250",G,,,,,
16,Idaho,03:  5-9,"6,192","6,230","40,948",G,"1,239,235",G,,,,,
16,Idaho,04:  10-19,"3,872","4,039","51,057",G,"1,643,174",G,,,,,
16,Idaho,05:  <20,"33,229","33,459","127,796",G,"4,228,659",G,,,,,
16,Idaho,06:  20-99,"3,036","4,029","106,706",G,"3,706,206",G,,,,,
16,Idaho,07:  100-499,804,"2,150","81,251",G,"3,014,280",G,,,,,
16,Idaho,08:  <500,"37,069","39,638","315,753",G,"10,949,145",G,,,,,
16,Idaho,09:  500+,"1,367","6,188","246,529",G,"11,294,130",G,,,,,
17,Illinois,01:  Total,"256,603","319,605","5,513,071",G,"295,308,470",G,,,,,
17,Illinois,02:  0-4,"157,789","157,980","242,278",G,"11,200,731",G,,,,,
17,Illinois,03:  5-9,"39,572","39,991","259,664",G,"10,284,139",G,,,,,
17,Illinois,04:  10-19,"24,781","25,822","330,796",G,"14,185,555",G,,,,,
17,Illinois,05:  <20,"222,142","223,793","832,738",G,"35,670,425",G,,,,,
17,Illinois,06:  20-99,"23,532","28,992","882,269",G,"41,072,770",G,,,,,
17,Illinois,07:  100-499,"6,163","14,904","770,850",G,"40,518,755",G,,,,,
17,Illinois,08:  <500,"251,837","267,689","2,485,857",G,"117,261,950",G,,,,,
17,Illinois,09:  500+,"4,766","51,916","3,027,214",G,"178,046,520",G,,,,,
18,Indiana,01:  Total,"108,658","146,078","2,720,277",G,"117,009,032",G,,,,,
18,Indiana,02:  0-4,"58,926","59,006","100,678",G,"3,703,540",G,,,,,
18,Indiana,03:  5-9,"19,362","19,572","127,492",G,"4,123,514",G,,,,,
18,Indiana,04:  10-19,"12,557","13,148","168,685",G,"5,762,247",G,,,,,
18,Indiana,05:  <20,"90,845","91,726","396,855",G,"13,589,301",G,,,,,
18,Indiana,06:  20-99,"11,520","14,748","433,544",G,"16,214,045",G,,,,,
18,Indiana,07:  100-499,"3,064","8,716","391,973",G,"16,465,958",G,,,,,
18,Indiana,08:  <500,"105,429","115,190","1,222,372",G,"46,269,304",G,,,,,
18,Indiana,09:  500+,"3,229","30,888","1,497,905",G,"70,739,728",G,,,,,
19,Iowa,01:  Total,"62,639","81,563","1,354,487",G,"56,930,435",G,,,,,
19,Iowa,02:  0-4,"35,697","35,768","59,465",G,"2,123,372",G,,,,,
19,Iowa,03:  5-9,"10,654","10,812","69,999",G,"2,217,286",G,,,,,
19,Iowa,04:  10-19,"6,773","7,207","90,263",G,"3,081,812",G,,,,,
19,Iowa,05:  <20,"53,124","53,787","219,727",G,"7,422,470",G,,,,,
19,Iowa,06:  20-99,"5,933","8,558","221,076",G,"8,304,382",G,,,,,
19,Iowa,07:  100-499,"1,633","5,714","210,832",G,"8,845,313",G,,,,,
19,Iowa,08:  <500,"60,690","68,059","651,635",G,"24,572,165",G,,,,,
19,Iowa,09:  500+,"1,949","13,504","702,852",G,"32,358,270",G,,,,,
20,Kansas,01:  Total,"58,246","74,884","1,184,710",G,"51,016,318",G,,,,,
20,Kansas,02:  0-4,"32,712","32,776","55,481",G,"2,023,269",G,,,,,
20,Kansas,03:  5-9,"9,948","10,065","65,519",G,"2,110,930",G,,,,,
20,Kansas,04:  10-19,"6,138","6,439","81,692",G,"2,840,002",G,,,,,
20,Kansas,05:  <20,"48,798","49,280","202,692",G,"6,974,201",G,,,,,
20,Kansas,06:  20-99,"5,606","7,553","206,357",G,"7,800,009",G,,,,,
20,Kansas,07:  100-499,"1,639","4,598","195,166",G,"8,285,634",G,,,,,
20,Kansas,08:  <500,"56,043","61,431","604,215",G,"23,059,844",G,,,,,
20,Kansas,09:  500+,"2,203","13,453","580,495",G,"27,956,474",G,,,,,
21,Kentucky,01:  Total,"68,726","92,000","1,603,173",G,"65,242,827",G,,,,,
21,Kentucky,02:  0-4,"38,245","38,307","65,886",G,"2,272,711",G,,,,,
21,Kentucky,03:  5-9,"11,992","12,093","78,895",G,"2,417,588",G,,,,,
21,Kentucky,04:  10-19,"7,349","7,710","98,216",G,"3,239,943",G,,,,,
21,Kentucky,05:  <20,"57,586","58,110","242,997",G,"7,930,242",G,,,,,
21,Kentucky,06:  20-99,"6,762","8,860","247,913",G,"8,915,505",G,,,,,
21,Kentucky,07:  100-499,"1,859","5,204","211,144",G,"8,461,086",G,,,,,
21,Kentucky,08:  <500,"66,207","72,174","702,054",G,"25,306,833",G,,,,,
21,Kentucky,09:  500+,"2,519","19,826","901,119",G,"39,935,994",G,,,,,
22,Louisiana,01:  Total,"81,020","105,732","1,709,226",G,"75,125,447",G,,,,,
22,Louisiana,02:  0-4,"43,682","43,766","75,725",G,"3,088,915",G,,,,,
22,Louisiana,03:  5-9,"14,853","15,036","97,838",G,"3,307,990",G,,,,,
22,Louisiana,04:  10-19,"9,230","9,701","123,604",G,"4,421,108",G,,,,,
22,Louisiana,05:  <20,"67,765","68,503","297,167",G,"10,818,013",G,,,,,
22,Louisiana,06:  20-99,"8,812","11,283","334,313",G,"12,463,535",G,,,,,
22,Louisiana,07:  100-499,"2,128","6,132","271,278",G,"11,969,816",G,,,,,
22,Louisiana,08:  <500,"78,705","85,918","902,758",G,"35,251,364",G,,,,,
22,Louisiana,09:  500+,"2,315","19,814","806,468",G,"39,874,083",G,,,,,
23,Maine,01:  Total,"33,927","41,178","511,936",G,"21,349,199",G,,,,,
23,Maine,02:  0-4,"20,896","20,924","32,366",G,"1,284,316",G,,,,,
23,Maine,03:  5-9,"5,378","5,433","35,339",G,"1,191,555",G,,,,,
23,Maine,04:  10-19,"3,281","3,432","43,938",G,"1,533,854",G,,,,,
23,Maine,05:  <20,"29,555","29,789","111,643",G,"4,009,725",G,,,,,
23,Maine,06:  20-99,"2,605","3,633","95,775",G,"3,575,029",G,,,,,
23,Maine,07:  100-499,637,"2,253","81,738",G,"3,277,621",G,,,,,
23,Maine,08:  <500,"32,797","35,675","289,156",G,"10,862,375",G,,,,,
23,Maine,09:  500+,"1,130","5,503","222,780",G,"10,486,824",G,,,,,
24,Maryland,01:  Total,"109,507","138,480","2,282,725",G,"121,952,023",G,,,,,
24,Maryland,02:  0-4,"62,432","62,509","102,745",G,"4,947,308",G,,,,,
24,Maryland,03:  5-9,"18,327","18,479","120,697",G,"5,002,165",G,,,,,
24,Maryland,04:  10-19,"11,805","12,204","158,148",G,"6,885,118",G,,,,,
24,Maryland,05:  <20,"92,564","93,192","381,590",G,"16,834,591",G,,,,,
24,Maryland,06:  20-99,"11,214","13,460","418,452",G,"20,233,398",G,,,,,
24,Maryland,07:  100-499,"2,806","6,712","343,149",G,"18,291,815",G,,,,,
24,Maryland,08:  <500,"106,584","113,364","1,143,191",G,"55,359,804",G,,,,,
24,Maryland,09:  500+,"2,923","25,116","1,139,534",G,"66,592,219",G,,,,,
25,Massachusetts,01:  Total,"143,042","177,631","3,254,781",G,"204,747,200",G,,,,,
25,Massachusetts,02:  0-4,"82,725","82,872","136,691",G,"7,361,852",G,,,,,
25,Massachusetts,03:  5-9,"24,713","24,944","162,125",G,"7,252,721",G,,,,,
25,Massachusetts,04:  10-19,"14,992","15,554","200,169",G,"9,678,491",G,,,,,
25,Massachusetts,05:  <20,"122,430","123,370","498,985",G,"24,293,064",G,,,,,
25,Massachusetts,06:  20-99,"13,743","16,343","517,486",G,"27,873,412",G,,,,,
25,Massachusetts,07:  100-499,"3,555","8,573","473,945",G,"28,503,609",G,,,,,
25,Massachusetts,08:  <500,"139,728","148,286","1,490,416",G,"80,670,085",G,,,,,
25,Massachusetts,09:  500+,"3,314","29,345","1,764,365",G,"124,077,115",G,,,,,
26,Michigan,01:  Total,"173,416","220,412","3,805,578",G,"183,192,569",G,,,,,
26,Michigan,02:  0-4,"98,315","98,459","163,100",G,"7,002,194",G,,,,,
26,Michigan,03:  5-9,"30,932","31,226","204,837",G,"7,381,795",G,,,,,
26,Michigan,04:  10-19,"19,628","20,519","263,529",G,"10,158,632",G,,,,,
26,Michigan,05:  <20,"148,875","150,204","631,466",G,"24,542,621",G,,,,,
26,Michigan,06:  20-99,"17,290","22,069","657,136",G,"26,979,347",G,,,,,
26,Michigan,07:  100-499,"3,962","11,381","580,283",G,"26,979,946",G,,,,,
26,Michigan,08:  <500,"170,127","183,654","1,868,885",G,"78,501,914",G,,,,,
26,Michigan,09:  500+,"3,289","36,758","1,936,693",G,"104,690,655",G,,,,,
27,Minnesota,01:  Total,"119,039","150,115","2,661,627",G,"137,135,936",G,,,,,
27,Minnesota,02:  0-4,"70,717","70,781","107,054",G,"4,991,865",G,,,,,
27,Minnesota,03:  5-9,"18,498","18,682","121,848",G,"4,591,015",G,,,,,
27,Minnesota,04:  10-19,"12,150","12,674","163,742",G,"6,270,075",G,,,,,
27,Minnesota,05:  <20,"101,365","102,137","392,644",G,"15,852,955",G,,,,,
27,Minnesota,06:  20-99,"11,859","15,099","453,476",G,"18,997,272",G,,,,,
27,Minnesota,07:  100-499,"2,960","8,526","408,838",G,"18,663,568",G,,,,,
27,Minnesota,08:  <500,"116,184","125,762","1,254,958",G,"53,513,795",G,,,,,
27,Minnesota,09:  500+,"2,855","24,353","1,406,669",G,"83,622,141",G,,,,,
28,Mississippi,01:  Total,"44,414","58,850","939,322",G,"34,356,961",G,,,,,
28,Mississippi,02:  0-4,"24,028","24,082","42,961",G,"1,427,295",G,,,,,
28,Mississippi,03:  5-9,"8,299","8,420","54,291",G,"1,613,257",G,,,,,
28,Mississippi,04:  10-19,"4,918","5,221","65,083",G,"1,997,942",G,,,,,
28,Mississippi,05:  <20,"37,245","37,723","162,335",G,"5,038,494",G,,,,,
28,Mississippi,06:  20-99,"4,219","5,578","153,145",G,"5,101,705",G,,,,,
28,Mississippi,07:  100-499,"1,136","3,390","124,919",G,"4,546,963",G,,,,,
28,Mississippi,08:  <500,"42,600","46,691","440,399",G,"14,687,162",G,,,,,
28,Mississippi,09:  500+,"1,814","12,159","498,923",G,"19,669,799",G,,,,,
29,Missouri,01:  Total,"126,038","160,912","2,494,720",G,"112,072,115",G,,,,,
29,Missouri,02:  0-4,"78,550","78,650","121,512",G,"4,001,282",G,,,,,
29,Missouri,03:  5-9,"18,631","18,817","122,940",G,"4,152,995",G,,,,,
29,Missouri,04:  10-19,"11,719","12,287","156,267",G,"5,465,995",G,,,,,
29,Missouri,05:  <20,"108,900","109,754","400,719",G,"13,620,272",G,,,,,
29,Missouri,06:  20-99,"11,329","14,813","427,843",G,"16,126,850",G,,,,,
29,Missouri,07:  100-499,"2,745","7,836","340,163",G,"14,913,025",G,,,,,
29,Missouri,08:  <500,"122,974","132,403","1,168,725",G,"44,660,147",G,,,,,
29,Missouri,09:  500+,"3,064","28,509","1,325,995",G,"67,411,968",G,,,,,
30,Montana,01:  Total,"32,450","37,626","378,463",G,"14,542,766",G,,,,,
30,Montana,02:  0-4,"20,338","20,357","30,832",G,"1,123,465",G,,,,,
30,Montana,03:  5-9,"5,362","5,405","35,290",G,"1,070,016",G,,,,,
30,Montana,04:  10-19,"3,084","3,233","41,093",G,"1,320,044",G,,,,,
30,Montana,05:  <20,"28,784","28,995","107,215",G,"3,513,525",G,,,,,
30,Montana,06:  20-99,"2,257","3,028","80,094",G,"2,711,258",G,,,,,
30,Montana,07:  100-499,516,"1,548","58,102",G,"2,310,827",G,,,,,
30,Montana,08:  <500,"31,557","33,571","245,411",G,"8,535,610",G,,,,,
30,Montana,09:  500+,893,"4,055","133,052",G,"6,007,156",G,,,,,
31,Nebraska,01:  Total,"43,409","54,265","884,450",G,"37,715,004",G,,,,,
31,Nebraska,02:  0-4,"25,352","25,390","41,276",G,"1,476,113",G,,,,,
31,Nebraska,03:  5-9,"7,025","7,111","46,091",G,"1,508,999",G,,,,,
31,Nebraska,04:  10-19,"4,446","4,676","59,028",G,"2,006,401",G,,,,,
31,Nebraska,05:  <20,"36,823","37,177","146,395",G,"4,991,513",G,,,,,
31,Nebraska,06:  20-99,"3,974","5,432","145,454",G,"5,310,548",G,,,,,
31,Nebraska,07:  100-499,"1,037","3,226","120,442",G,"5,195,411",G,,,,,
31,Nebraska,08:  <500,"41,834","45,835","412,291",G,"15,497,472",G,,,,,
31,Nebraska,09:  500+,"1,575","8,430","472,159",G,"22,217,532",G,,,,,
32,Nevada,01:  Total,"51,591","64,815","1,165,298",G,"49,207,817",G,,,,,
32,Nevada,02:  0-4,"29,500","29,525","44,621",G,"2,399,417",G,,,,,
32,Nevada,03:  5-9,"8,079","8,154","53,160",G,"1,994,899",G,,,,,
32,Nevada,04:  10-19,"5,328","5,530","70,825",G,"2,680,771",G,,,,,
32,Nevada,05:  <20,"42,907","43,209","168,606",G,"7,075,087",G,,,,,
32,Nevada,06:  20-99,"4,806","5,756","169,349",G,"6,566,510",G,,,,,
32,Nevada,07:  100-499,"1,580","3,430","149,452",G,"6,185,461",G,,,,,
32,Nevada,08:  <500,"49,293","52,395","487,407",G,"19,827,058",G,,,,,
32,Nevada,09:  500+,"2,298","12,420","677,891",G,"29,380,759",G,,,,,
33,New Hampshire,01:  Total,"30,627","37,868","594,243",G,"29,193,307",G,,,,,
33,New Hampshire,02:  0-4,"16,732","16,761","28,527",G,"1,324,245",G,,,,,
33,New Hampshire,03:  5-9,"5,382","5,423","35,662",G,"1,433,587",G,,,,,
33,New Hampshire,04:  10-19,"3,331","3,436","44,174",G,"1,880,188",G,,,,,
33,New Hampshire,05:  <20,"25,445","25,620","108,363",G,"4,638,020",G,,,,,
33,New Hampshire,06:  20-99,"3,038","3,679","108,656",G,"5,014,990",G,,,,,
33,New Hampshire,07:  100-499,774,"1,963","78,876",G,"3,866,723",G,,,,,
33,New Hampshire,08:  <500,"29,257","31,262","295,895",G,"13,519,733",G,,,,,
33,New Hampshire,09:  500+,"1,370","6,606","298,348",G,"15,673,574",G,,,,,
34,New Jersey,01:  Total,"194,218","231,974","3,636,293",G,"214,757,817",G,,,,,
34,New Jersey,02:  0-4,"118,233","118,374","198,156",G,"9,095,704",G,,,,,
34,New Jersey,03:  5-9,"32,213","32,443","211,098",G,"8,622,694",G,,,,,
34,New Jersey,04:  10-19,"19,162","19,699","255,098",G,"11,252,906",G,,,,,
34,New Jersey,05:  <20,"169,608","170,516","664,352",G,"28,971,304",G,,,,,
34,New Jersey,06:  20-99,"17,189","19,557","638,671",G,"31,503,187",G,,,,,
34,New Jersey,07:  100-499,"4,013","8,392","507,084",G,"28,314,570",G,,,,,
34,New Jersey,08:  <500,"190,810","198,465","1,810,107",G,"88,789,061",G,,,,,
34,New Jersey,09:  500+,"3,408","33,509","1,826,186",G,"125,968,756",G,,,,,
35,New Mexico,01:  Total,"34,372","43,771","628,723",G,"25,029,224",G,,,,,
35,New Mexico,02:  0-4,"18,814","18,844","32,003",G,"1,177,051",G,,,,,
35,New Mexico,03:  5-9,"5,798","5,846","38,180",G,"1,232,235",G,,,,,
35,New Mexico,04:  10-19,"3,861","4,012","51,475",G,"1,709,259",G,,,,,
35,New Mexico,05:  <20,"28,473","28,702","121,658",G,"4,118,545",G,,,,,
35,New Mexico,06:  20-99,"3,381","4,305","118,333",G,"4,130,531",G,,,,,
35,New Mexico,07:  100-499,908,"2,356","94,954",G,"3,644,235",G,,,,,
35,New Mexico,08:  <500,"32,762","35,363","334,945",G,"11,893,311",G,,,,,
35,New Mexico,09:  500+,"1,610","8,408","293,778",G,"13,135,913",G,,,,,
36,New York,01:  Total,"465,139","544,073","8,178,455",G,"521,872,694",G,,,,,
36,New York,02:  0-4,"302,288","302,574","487,886",G,"23,292,631",G,,,,,
36,New York,03:  5-9,"71,719","72,170","469,649",G,"19,344,932",G,,,,,
