,"   Number of Firms, Number of Establishments, Employment, and Annual Payroll",,,,,,,,,,
Missouri,Firms,"118,063","12,854","54,709","20,721","12,810","101,094","11,509","2,641","115,244","2,819"
,Establishments,"144,755","12,930","54,821","21,011","13,508","102,270","14,737","6,828","123,835","20,920"
,Employment,"2,398,979",0,"114,474","135,681","170,918","421,073","437,427","331,585","1,190,085","1,208,894"
,"Annual Payroll ($1,000)","72,195,796","712,550","2,458,261","3,177,591","4,317,760","10,666,162","11,644,242","9,629,869","31,940,273","40,255,523"
Montana,Firms,"27,996","4,189","13,085","5,031","2,704","25,009","1,982",370,"27,361",635
,Establishments,"31,849","4,192","13,109","5,085","2,830","25,216","2,598","1,174","28,988","2,861"
,Employment,"296,220",0,"27,126","32,952","35,741","95,819","71,205","41,850","208,874","87,346"
,"Annual Payroll ($1,000)","6,808,075","94,622","501,172","608,894","685,332","1,890,020","1,494,500","989,226","4,373,746","2,434,329"
Nebraska,Firms,"41,413","4,782","19,045","7,264","4,442","35,533","3,720",848,"40,101","1,312"
,Establishments,"49,623","4,802","19,093","7,365","4,722","35,982","4,901","2,507","43,390","6,233"
,Employment,"751,076",0,"39,977","47,690","58,679","146,346","138,874","99,614","384,834","366,242"
,"Annual Payroll ($1,000)","20,283,421","150,071","753,848","984,037","1,298,967","3,186,923","3,458,018","2,611,774","9,256,715","11,026,706"
Nevada,Firms,"40,251","6,201","16,398","6,549","4,259","33,407","3,830","1,254","38,491","1,760"
,Establishments,"48,178","6,220","16,420","6,606","4,439","33,685","4,537","2,417","40,639","7,539"
,Employment,"902,775",0,"33,610","43,089","55,992","132,691","136,673","125,175","394,539","508,236"
,"Annual Payroll ($1,000)","26,597,395","344,651","1,060,655","1,169,182","1,523,568","4,098,056","4,019,493","3,688,736","11,806,285","14,791,110"
New Hampshire,Firms,"32,100","3,838","14,322","5,729","3,418","27,307","3,010",701,"31,018","1,082"
,Establishments,"37,414","3,851","14,338","5,781","3,568","27,538","3,624","1,589","32,751","4,663"
,Employment,"546,400",0,"30,609","37,603","45,395","113,607","109,324","79,578","302,509","243,891"
,"Annual Payroll ($1,000)","17,826,474","205,576","854,293","1,045,414","1,400,011","3,505,294","3,423,991","2,580,743","9,510,028","8,316,446"
New Jersey,Firms,"202,213","25,850","99,259","33,697","19,553","178,359","16,830","3,795","198,984","3,229"
,Establishments,"233,559","25,911","99,428","34,042","20,169","179,550","19,199","7,484","206,233","27,326"
,Employment,"3,548,429",0,"206,162","220,151","260,159","686,472","627,126","489,860","1,803,458","1,744,971"
,"Annual Payroll ($1,000)","147,082,234","1,404,419","6,529,489","6,973,893","9,053,158","23,960,959","22,889,782","18,379,527","65,230,268","81,851,966"
New Mexico,Firms,"35,469","4,282","15,924","6,171","3,770","30,147","3,151",786,"34,084","1,385"
,Establishments,"42,782","4,290","15,945","6,230","3,981","30,446","4,024","2,018","36,488","6,294"
,Employment,"549,352",0,"33,506","40,561","49,563","123,630","111,642","82,230","317,502","231,850"
,"Annual Payroll ($1,000)","14,303,193","130,086","681,669","860,080","1,094,517","2,766,352","2,559,684","2,092,952","7,418,988","6,884,205"
New York,Firms,"424,784","56,116","214,384","68,776","39,938","379,214","34,158","7,146","420,518","4,266"
,Establishments,"492,073","56,334","214,703","69,438","41,299","381,774","40,150","16,989","438,913","53,160"
,Employment,"7,353,209",0,"437,442","449,017","532,677","1,419,136","1,292,076","1,094,571","3,805,783","3,547,426"
,"Annual Payroll ($1,000)","330,586,554","3,495,542","13,237,095","14,125,240","18,602,531","49,460,408","48,627,488","44,258,621","142,346,517","188,240,037"
North Carolina,Firms,"163,643","19,604","74,802","29,682","17,906","141,994","14,968","3,349","160,311","3,332"
,Establishments,"203,903","19,677","74,935","30,056","18,800","143,468","19,288","9,290","172,046","31,857"
,Employment,"3,385,492",0,"158,736","194,560","238,432","591,728","555,598","445,460","1,592,786","1,792,706"
,"Annual Payroll ($1,000)","99,687,306","814,917","3,574,660","4,621,283","5,992,723","15,003,583","14,712,724","12,569,715","42,286,022","57,401,284"
North Dakota,Firms,"17,163","1,879","7,863","3,026","1,886","14,654","1,548",391,"16,593",570
,Establishments,"20,139","1,880","7,873","3,059","2,050","14,862","2,097","1,034","17,993","2,146"
,Employment,"255,178",0,"16,097","19,935","25,074","61,106","58,557","46,116","165,779","89,399"
,"Annual Payroll ($1,000)","6,057,225","60,728","287,657","377,889","531,903","1,258,177","1,265,149","1,009,244","3,532,570","2,524,655"
Ohio,Firms,"212,542","22,153","92,192","40,670","25,500","180,515","23,136","5,090","208,741","3,801"
,Establishments,"270,509","22,329","92,408","41,294","26,866","182,897","29,682","13,530","226,109","44,400"
,Employment,"5,001,980",0,"198,855","267,822","341,030","807,707","891,431","724,635","2,423,773","2,578,207"
,"Annual Payroll ($1,000)","155,035,151","943,795","4,637,924","6,497,248","8,984,808","21,063,775","24,802,667","20,954,971","66,821,413","88,213,738"
Oklahoma,Firms,"70,156","7,964","33,233","12,541","7,232","60,970","6,005","1,316","68,291","1,865"
,Establishments,"85,094","7,986","33,308","12,666","7,636","61,596","7,919","3,499","73,014","12,080"
,Employment,"1,201,606",0,"69,581","81,981","96,278","247,840","226,771","166,943","641,554","560,052"
,"Annual Payroll ($1,000)","31,700,630","272,979","1,430,284","1,713,432","2,139,332","5,556,027","5,294,419","4,135,895","14,986,341","16,714,289"
Oregon,Firms,"85,116","11,270","39,105","14,746","9,065","74,186","7,262","1,632","83,080","2,036"
,Establishments,"100,645","11,311","39,169","14,896","9,508","74,884","9,384","4,832","89,100","11,545"
,Employment,"1,355,442",0,"80,944","96,791","120,767","298,502","262,821","195,978","757,301","598,141"
,"Annual Payroll ($1,000)","43,689,551","358,453","1,867,476","2,264,076","3,013,384","7,503,389","7,531,253","5,884,605","20,919,247","22,770,304"
Pennsylvania,Firms,"237,518","24,100","109,549","44,096","26,856","204,601","23,773","5,231","233,605","3,913"
,Establishments,"294,741","24,272","109,764","44,715","28,297","207,048","29,956","13,948","250,952","43,789"
,Employment,"5,087,237",0,"233,343","288,859","359,369","881,571","909,926","762,844","2,554,341","2,532,896"
,"Annual Payroll ($1,000)","165,108,376","1,137,185","5,420,037","7,085,443","9,742,395","23,385,060","26,599,197","22,969,932","72,954,189","92,154,187"
Rhode Island,Firms,"25,243","2,889","11,882","4,204","2,546","21,521","2,256",564,"24,341",902
,Establishments,"28,534","2,909","11,894","4,238","2,641","21,682","2,546","1,168","25,396","3,138"
,Employment,"415,168",0,"24,907","27,476","33,597","85,980","84,212","71,898","242,090","173,078"
,"Annual Payroll ($1,000)","12,585,945","106,843","639,347","717,722","905,389","2,369,301","2,415,629","1,979,197","6,764,127","5,821,818"
South Carolina,Firms,"78,360","9,068","34,907","14,536","8,668","67,179","7,231","1,732","76,142","2,218"
,Establishments,"97,146","9,104","34,978","14,702","9,111","67,895","9,051","4,549","81,495","15,651"
,Employment,"1,601,532",0,"74,589","95,147","115,229","284,965","263,703","201,636","750,304","851,228"
,"Annual Payroll ($1,000)","43,362,158","394,247","1,577,608","2,040,111","2,665,512","6,677,478","6,280,274","4,963,819","17,921,571","25,440,587"
South Dakota,Firms,"20,558","2,537","9,263","3,611","2,252","17,663","1,783",451,"19,897",661
,Establishments,"23,783","2,541","9,276","3,666","2,412","17,895","2,337","1,307","21,539","2,244"
,Employment,"306,704",0,"19,192","23,733","29,892","72,817","64,364","50,082","187,263","119,441"
,"Annual Payroll ($1,000)","7,296,364","55,916","340,404","430,358","592,881","1,419,559","1,439,541","1,148,341","4,007,441","3,288,923"
Tennessee,Firms,"102,427","10,685","45,970","18,689","11,320","86,664","10,165","2,617","99,446","2,981"
,Establishments,"130,876","10,724","46,071","18,882","11,872","87,549","12,747","6,373","106,669","24,207"
,Employment,"2,390,322",0,"97,865","122,212","150,380","370,457","379,300","324,365","1,074,122","1,316,200"
,"Annual Payroll ($1,000)","69,411,435","550,690","2,213,229","2,817,850","3,808,137","9,389,906","10,500,389","8,971,192","28,861,487","40,549,948"
Texas,Firms,"369,039","44,572","168,782","66,888","41,023","321,265","35,286","7,462","364,013","5,026"
,Establishments,"471,509","44,761","169,203","67,854","43,429","325,247","45,556","20,919","391,722","79,787"
,Employment,"8,026,438",0,"356,442","438,451","547,878","1,342,771","1,348,425","1,032,371","3,723,567","4,302,871"
,"Annual Payroll ($1,000)","269,917,800","2,735,064","9,895,719","11,479,451","14,887,858","38,998,092","38,342,576","32,092,967","109,433,635","160,484,165"
Utah,Firms,"46,190","7,249","19,067","7,993","4,951","39,260","4,256","1,019","44,535","1,655"
,Establishments,"55,379","7,267","19,100","8,065","5,157","39,589","5,312","2,405","47,306","8,073"
,Employment,"917,089",0,"39,724","52,457","65,882","158,063","156,546","117,480","432,089","485,000"
,"Annual Payroll ($1,000)","25,439,601","358,590","931,271","1,162,278","1,520,354","3,972,493","4,131,469","3,212,170","11,316,132","14,123,469"
Vermont,Firms,"19,112","2,287","9,010","3,383","1,986","16,666","1,502",350,"18,518",594
,Establishments,"21,564","2,292","9,016","3,411","2,074","16,793","1,935","1,050","19,778","1,786"
,Employment,"253,541",0,"18,776","22,149","25,960","66,885","53,516","44,664","165,065","88,476"
,"Annual Payroll ($1,000)","6,938,080","62,171","404,575","496,745","591,756","1,555,247","1,331,456","1,217,825","4,104,528","2,833,552"
Virginia,Firms,"139,737","16,669","63,411","25,060","15,184","120,324","13,054","3,210","136,588","3,149"
,Establishments,"175,582","16,718","63,539","25,358","15,961","121,576","16,475","8,098","146,149","29,433"
,Employment,"2,903,548",0,"134,196","164,474","202,170","500,840","481,901","405,573","1,388,314","1,515,234"
,"Annual Payroll ($1,000)","97,692,222","772,896","3,378,926","4,218,418","5,525,467","13,895,707","14,439,894","13,204,881","41,540,482","56,151,740"
Washington,Firms,"138,228","19,222","63,377","23,804","14,528","120,931","11,996","2,671","135,598","2,630"
,Establishments,"164,018","19,307","63,500","24,063","15,281","122,151","15,529","6,906","144,586","19,432"
,Employment,"2,267,485",0,"131,185","156,416","193,738","481,339","440,357","332,306","1,254,002","1,013,483"
,"Annual Payroll ($1,000)","87,746,294","743,627","3,277,635","3,974,013","5,318,913","13,314,188","13,409,193","12,109,036","38,832,417","48,913,877"
West Virginia,Firms,"33,496","3,176","15,754","6,248","3,611","28,789","2,904",663,"32,356","1,140"
,Establishments,"41,047","3,209","15,779","6,322","3,841","29,151","3,825","1,972","34,948","6,099"
,Employment,"558,171",0,"33,751","40,809","48,075","122,635","105,949","73,836","302,420","255,751"
,"Annual Payroll ($1,000)","14,019,258","90,939","552,731","774,971","964,313","2,382,954","2,400,580","1,634,945","6,418,479","7,600,779"
Wisconsin,Firms,"115,609","13,094","50,002","21,175","13,903","98,174","12,412","2,632","113,218","2,391"
,Establishments,"140,415","13,158","50,097","21,415","14,600","99,270","16,036","7,154","122,460","17,955"
,Employment,"2,414,834",0,"105,329","139,611","186,782","431,722","474,938","391,532","1,298,192","1,116,642"
,"Annual Payroll ($1,000)","72,892,099","459,672","2,465,129","3,326,767","4,638,346","10,889,914","12,501,494","11,174,051","34,565,459","38,326,640"
Wyoming,Firms,"15,935","2,147","7,387","2,800","1,598","13,932","1,192",268,"15,392",543
,Establishments,"18,120","2,147","7,392","2,816","1,697","14,052","1,598",639,"16,289","1,831"
,Employment,"174,614",0,"15,586","18,270","20,962","54,818","40,069","25,657","120,544","54,070"
,"Annual Payroll ($1,000)","4,540,493","55,156","313,054","359,656","432,949","1,160,815","938,133","683,318","2,782,266","1,758,227"
