Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Employment Size of the Enterprise for the United States and States, Totals - 2002",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2002 County Business Patterns and 2002 Economic Census. For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,,,,,,    Employment Size of the Enterprise,,,,,
,"Annual Payroll ($1,000)","42,536,732","276,097","1,490,431","1,957,112","2,634,583","6,358,223","6,834,406","5,619,705","18,812,334","23,724,398"
,"Receipts ($1,000)","281,149,925","1,645,041","9,685,094","9,985,901","12,467,495","33,783,531","34,344,732","33,394,631","101,522,894","179,627,031"
Louisiana,Firms,"81,684","8,415","36,423","15,333","9,307","69,478","8,392","1,823","79,693","1,991"
,Establishments,"101,885","8,418","36,495","15,479","9,853","70,245","10,970","4,828","86,043","15,842"
,Employment,"1,583,308",0,"78,753","100,699","123,866","303,318","317,038","232,746","853,102","730,206"
,"Annual Payroll ($1,000)","45,628,304","384,497","1,835,477","2,345,433","3,007,751","7,573,158","7,897,475","6,430,109","21,900,742","23,727,562"
,"Receipts ($1,000)","319,434,841","2,263,479","10,685,714","11,414,680","13,247,858","37,611,731","37,140,048","35,336,263","110,088,042","209,346,799"
Maine,Firms,"34,421","5,327","15,918","5,693","3,373","30,311","2,642",600,"33,553",868
,Establishments,"40,292","5,327","15,931","5,760","3,544","30,562","3,626","2,037","36,225","4,067"
,Employment,"486,766",0,"33,647","37,324","44,716","115,687","96,994","79,777","292,458","194,308"
,"Annual Payroll ($1,000)","14,374,843","189,871","794,407","919,906","1,118,031","3,022,215","2,619,204","2,334,894","7,976,313","6,398,530"
,"Receipts ($1,000)","72,550,767","1,086,069","4,405,380","4,035,220","5,289,635","14,816,304","11,416,912","10,259,203","36,492,419","36,058,348"
Maryland,Firms,"107,995","14,164","47,407","18,893","11,741","92,205","10,617","2,623","105,445","2,550"
,Establishments,"131,815","14,184","47,450","19,098","12,291","93,023","13,082","5,898","112,003","19,812"
,Employment,"2,062,515",0,"101,060","123,995","156,047","381,102","388,832","317,291","1,087,225","975,290"
,"Annual Payroll ($1,000)","75,032,122","651,491","3,004,909","3,700,523","4,861,149","12,218,072","13,124,275","11,132,224","36,474,571","38,557,551"
,"Receipts ($1,000)","365,025,341","3,432,347","15,778,889","15,842,571","19,461,288","54,515,095","51,357,883","48,609,401","154,482,379","210,542,962"
Massachusetts,Firms,"146,080","18,817","66,137","25,406","15,395","125,755","14,030","3,406","143,191","2,889"
,Establishments,"175,991","18,831","66,212","25,702","16,114","126,859","17,242","8,784","152,885","23,106"
,Employment,"3,023,126",0,"141,555","165,893","205,289","512,737","523,599","445,139","1,481,475","1,541,651"
,"Annual Payroll ($1,000)","127,902,287","1,053,107","4,585,493","5,582,318","7,367,688","18,588,606","20,645,910","18,499,389","57,733,905","70,168,382"
,"Receipts ($1,000)","627,499,330","5,984,964","26,649,861","24,938,112","29,521,281","87,094,218","85,561,809","74,958,278","247,614,305","379,885,025"
Michigan,Firms,"192,284","26,467","82,470","35,637","22,154","166,728","18,550","3,981","189,259","3,025"
,Establishments,"237,616","26,488","82,560","35,983","23,337","168,368","24,547","11,401","204,316","33,300"
,Employment,"3,889,825",0,"178,033","234,575","296,068","708,676","701,740","565,969","1,976,385","1,913,440"
,"Annual Payroll ($1,000)","142,419,255","1,359,265","4,912,511","6,420,395","8,761,610","21,453,781","22,546,048","18,969,268","62,969,097","79,450,158"
,"Receipts ($1,000)","777,642,198","6,938,986","31,120,105","30,915,728","36,550,798","105,525,617","101,243,545","88,592,709","295,361,871","482,280,327"
Minnesota,Firms,"118,667","18,523","50,925","19,607","12,925","101,980","11,622","2,625","116,227","2,440"
,Establishments,"143,953","18,537","50,977","19,798","13,579","102,891","15,137","7,520","125,548","18,405"
,Employment,"2,359,593",0,"105,612","129,137","173,536","408,285","438,236","359,458","1,205,979","1,153,614"
,"Annual Payroll ($1,000)","84,527,829","816,751","2,878,309","3,465,333","4,888,877","12,049,270","13,572,313","12,026,839","37,648,422","46,879,407"
,"Receipts ($1,000)","456,801,138","4,879,867","17,985,724","19,877,253","24,251,652","66,994,496","64,476,836","53,747,000","185,218,332","271,582,806"
Mississippi,Firms,"47,979","5,183","22,073","8,791","5,081","41,128","4,276","1,055","46,459","1,520"
,Establishments,"59,902","5,185","22,105","8,884","5,384","41,558","5,702","3,266","50,526","9,376"
,Employment,"904,252",0,"48,291","57,576","67,635","173,502","152,772","126,189","452,463","451,789"
,"Annual Payroll ($1,000)","22,773,227","209,766","935,579","1,194,631","1,539,600","3,879,576","3,585,927","2,964,872","10,430,375","12,342,852"
,"Receipts ($1,000)","137,735,116","1,330,992","6,264,648","6,086,727","7,617,684","21,300,051","20,189,131","17,322,205","58,811,387","78,923,729"
Missouri,Firms,"119,561","14,882","54,959","20,169","12,617","102,627","11,534","2,694","116,855","2,706"
,Establishments,"147,977","14,897","55,027","20,371","13,351","103,646","15,224","7,402","126,272","21,705"
,Employment,"2,354,230",0,"115,112","131,988","167,608","414,708","432,167","325,666","1,172,541","1,181,689"
,"Annual Payroll ($1,000)","74,124,495","503,288","2,586,068","3,310,864","4,559,091","10,959,311","12,042,925","10,122,000","33,124,236","41,000,259"
,"Receipts ($1,000)","441,775,466","2,878,339","15,414,749","16,393,682","21,253,630","55,940,400","59,277,382","51,938,159","167,155,941","274,619,525"
Montana,Firms,"28,812","4,600","13,491","4,964","2,683","25,738","2,032",401,"28,171",641
,Establishments,"32,972","4,605","13,498","5,009","2,839","25,951","2,736","1,192","29,879","3,093"
,Employment,"300,636",0,"28,219","32,334","35,224","95,777","71,371","42,403","209,551","91,085"
,"Annual Payroll ($1,000)","7,429,132","127,956","568,247","655,722","749,053","2,100,978","1,604,329","1,100,098","4,805,405","2,623,727"
,"Receipts ($1,000)","43,021,691","833,151","3,547,434","3,244,233","3,671,864","11,296,682","8,851,726","6,036,606","26,185,014","16,836,677"
Nebraska,Firms,"41,487","4,773","19,369","7,098","4,415","35,655","3,655",867,"40,177","1,310"
,Establishments,"50,259","4,787","19,390","7,165","4,740","36,082","5,062","2,704","43,848","6,411"
,Employment,"749,098",0,"40,596","46,647","58,732","145,975","134,619","102,228","382,822","366,276"
,"Annual Payroll ($1,000)","21,740,356","161,226","816,564","1,039,778","1,405,019","3,422,587","3,565,757","2,895,655","9,883,999","11,856,357"
,"Receipts ($1,000)","137,779,770","984,273","5,233,449","5,290,818","6,775,810","18,284,350","18,719,281","15,984,449","52,988,080","84,791,690"
Nevada,Firms,"42,502","7,066","17,211","6,620","4,377","35,274","4,050","1,347","40,671","1,831"
,Establishments,"51,383","7,068","17,234","6,685","4,582","35,569","4,919","2,609","43,097","8,286"
,Employment,"936,225",0,"35,488","43,454","57,560","136,502","139,641","125,422","401,565","534,660"
,"Annual Payroll ($1,000)","29,308,099","456,846","1,120,086","1,245,988","1,723,121","4,546,041","4,326,304","3,832,234","12,704,579","16,603,520"
,"Receipts ($1,000)","140,973,101","2,375,945","6,235,454","5,469,453","7,285,284","21,366,136","18,174,929","17,916,412","57,457,477","83,515,624"
New Hampshire,Firms,"32,279","4,052","14,224","5,671","3,429","27,376","3,118",715,"31,209","1,070"
,Establishments,"37,928","4,055","14,243","5,724","3,579","27,601","3,804","1,710","33,115","4,813"
,Employment,"550,725",0,"30,619","37,171","45,522","113,312","109,044","79,305","301,661","249,064"
,"Annual Payroll ($1,000)","18,651,759","156,127","903,233","1,114,089","1,425,733","3,599,182","3,664,584","2,730,838","9,994,604","8,657,155"
,"Receipts ($1,000)","89,818,618","970,103","4,951,146","4,748,517","5,912,107","16,581,873","15,638,718","11,432,339","43,652,930","46,165,688"
New Jersey,Firms,"203,467","27,190","98,799","33,635","19,843","179,467","16,980","3,826","200,273","3,194"
,Establishments,"237,505","27,194","98,900","33,900","20,575","180,569","19,757","7,798","208,124","29,381"
,Employment,"3,596,919",0,"208,032","219,422","263,711","691,165","621,082","483,287","1,795,534","1,801,385"
,"Annual Payroll ($1,000)","152,369,728","1,410,491","6,553,522","7,232,565","9,586,086","24,782,664","23,881,698","19,157,676","67,822,038","84,547,690"
,"Receipts ($1,000)","824,361,746","7,794,465","39,356,603","36,945,770","43,188,455","127,285,293","112,760,253","93,029,937","333,075,483","491,286,263"
New Mexico,Firms,"35,597","4,264","15,920","6,154","3,840","30,178","3,228",817,"34,223","1,374"
,Establishments,"43,213","4,276","15,930","6,215","4,013","30,434","4,212","2,232","36,878","6,335"
,Employment,"554,156",0,"33,541","40,573","50,211","124,325","112,412","82,679","319,416","234,740"
,"Annual Payroll ($1,000)","15,108,293","162,780","726,937","940,493","1,211,984","3,042,194","2,694,275","2,160,195","7,896,664","7,211,629"
,"Receipts ($1,000)","85,187,492","950,374","4,176,889","4,200,845","5,081,012","14,409,120","12,073,545","10,158,402","36,641,067","48,546,425"
New York,Firms,"428,425","58,872","216,959","68,370","39,361","383,562","33,682","7,093","424,337","4,088"
,Establishments,"498,921","58,947","217,143","69,018","40,874","385,982","40,661","17,974","444,617","54,304"
,Employment,"7,234,915",0,"446,566","446,601","524,409","1,417,576","1,258,422","1,080,374","3,756,372","3,478,543"
,"Annual Payroll ($1,000)","329,810,563","3,049,796","13,677,189","14,583,696","18,713,989","50,024,670","48,800,670","44,482,036","143,307,376","186,503,187"
,"Receipts ($1,000)","1,689,343,531","17,663,208","88,947,638","77,431,477","90,050,876","274,093,199","224,239,349","198,141,285","696,473,833","992,869,698"
North Carolina,Firms,"165,020","20,242","75,277","29,742","18,071","143,332","15,094","3,350","161,776","3,244"
,Establishments,"207,562","20,273","75,361","30,079","19,083","144,796","20,326","9,674","174,796","32,766"
,Employment,"3,322,004",0,"160,821","194,953","240,727","596,501","549,160","424,852","1,570,513","1,751,491"
,"Annual Payroll ($1,000)","101,827,237","918,815","3,714,962","4,792,769","6,243,578","15,670,124","15,237,796","12,415,992","43,323,912","58,503,325"
,"Receipts ($1,000)","592,948,880","5,793,426","24,035,171","23,302,789","27,851,661","80,983,047","72,137,523","59,876,679","212,997,249","379,951,631"
North Dakota,Firms,"17,151","2,113","7,887","2,812","1,822","14,634","1,524",407,"16,565",586
,Establishments,"20,422","2,114","7,897","2,847","1,987","14,845","2,149","1,160","18,154","2,268"
,Employment,"253,980",0,"16,480","18,561","24,369","59,410","56,070","45,461","160,941","93,039"
,"Annual Payroll ($1,000)","6,553,946","48,368","322,599","393,554","556,423","1,320,944","1,347,545","1,122,101","3,790,590","2,763,356"
,"Receipts ($1,000)","41,055,184","338,218","2,246,517","2,479,899","3,488,397","8,553,031","7,808,891","5,509,492","21,871,414","19,183,770"
Ohio,Firms,"211,017","23,923","91,231","40,015","24,969","180,138","22,205","4,994","207,337","3,680"
,Establishments,"271,181","23,943","91,366","40,504","26,452","182,265","29,380","14,338","225,983","45,198"
,Employment,"4,743,151",0,"198,005","263,249","334,247","795,501","843,393","688,696","2,327,590","2,415,561"
,"Annual Payroll ($1,000)","154,820,428","1,333,710","4,769,348","6,789,628","9,314,107","22,206,793","24,940,293","21,237,885","68,384,971","86,435,457"
,"Receipts ($1,000)","878,611,439","7,610,504","28,575,959","30,898,642","39,124,886","106,209,991","110,599,907","99,687,140","316,497,038","562,114,401"
Oklahoma,Firms,"70,334","8,017","33,383","12,495","7,117","61,012","6,120","1,404","68,536","1,798"
,Establishments,"86,029","8,034","33,422","12,600","7,575","61,631","8,168","4,141","73,940","12,089"
,Employment,"1,200,477",0,"70,639","81,836","94,359","246,834","228,629","169,256","644,719","555,758"
,"Annual Payroll ($1,000)","33,564,498","294,487","1,548,646","1,835,854","2,216,870","5,895,857","5,679,950","4,507,003","16,082,810","17,481,688"
,"Receipts ($1,000)","189,783,685","1,777,026","9,768,226","9,062,732","10,416,378","31,024,362","30,204,947","22,173,437","83,402,746","106,380,939"
Oregon,Firms,"85,134","11,520","39,324","14,622","8,925","74,391","7,117","1,646","83,154","1,980"
,Establishments,"101,933","11,529","39,370","14,753","9,410","75,062","9,530","4,862","89,454","12,479"
,Employment,"1,329,235",0,"81,810","95,835","118,292","295,937","253,931","186,097","735,965","593,270"
,"Annual Payroll ($1,000)","43,522,363","340,369","1,955,778","2,369,485","3,065,779","7,731,411","7,594,116","5,841,274","21,166,801","22,355,562"
,"Receipts ($1,000)","245,312,046","2,072,382","11,867,834","11,566,021","13,556,187","39,062,424","36,366,188","29,570,073","104,998,685","140,313,361"
Pennsylvania,Firms,"237,397","25,302","109,274","43,731","26,535","204,842","23,510","5,221","233,573","3,824"
,Establishments,"297,257","25,323","109,406","44,221","27,958","206,908","30,301","14,367","251,576","45,681"
,Employment,"5,046,442",0,"234,797","286,881","353,779","875,457","885,862","736,471","2,497,790","2,548,652"
,"Annual Payroll ($1,000)","169,236,446","1,173,710","5,723,915","7,448,642","10,096,631","24,442,898","27,382,686","23,663,677","75,489,261","93,747,185"
,"Receipts ($1,000)","929,856,026","6,705,293","33,949,636","35,400,569","46,533,631","122,589,129","125,209,961","107,853,304","355,652,394","574,203,632"
Rhode Island,Firms,"25,469","3,240","11,616","4,298","2,521","21,675","2,314",595,"24,584",885
,Establishments,"28,860","3,249","11,628","4,329","2,620","21,826","2,680","1,220","25,726","3,134"
,Employment,"415,970",0,"24,506","28,032","33,558","86,096","84,231","67,711","238,038","177,932"
,"Annual Payroll ($1,000)","13,547,296","129,208","673,133","792,919","998,343","2,593,603","2,621,430","2,076,237","7,291,270","6,256,026"
,"Receipts ($1,000)","64,869,717","680,069","3,810,449","3,615,183","4,174,018","12,279,719","11,505,577","9,072,359","32,857,655","32,012,062"
South Carolina,Firms,"78,608","9,194","35,512","14,278","8,563","67,547","7,185","1,741","76,473","2,135"
,Establishments,"98,357","9,208","35,534","14,431","9,048","68,221","9,463","4,446","82,130","16,227"
,Employment,"1,538,750",0,"76,894","93,381","113,428","283,703","258,009","197,556","739,268","799,482"
,"Annual Payroll ($1,000)","43,999,492","437,559","1,711,204","2,155,022","2,816,399","7,120,184","6,594,132","5,262,883","18,977,199","25,022,293"
,"Receipts ($1,000)","247,152,900","2,752,866","10,602,451","10,135,505","12,055,265","35,546,087","31,120,421","27,743,192","94,409,700","152,743,200"
South Dakota,Firms,"20,877","2,645","9,506","3,631","2,184","17,966","1,786",460,"20,212",665
,Establishments,"24,439","2,645","9,516","3,678","2,329","18,168","2,491","1,418","22,077","2,362"
,Employment,"303,646",0,"19,776","23,729","29,057","72,562","63,995","52,814","189,371","114,275"
,"Annual Payroll ($1,000)","7,749,874","83,357","384,452","485,906","637,316","1,591,031","1,515,794","1,316,949","4,423,774","3,326,100"
,"Receipts ($1,000)","59,556,908","562,605","2,757,275","2,791,731","3,527,111","9,638,722","9,554,098","7,060,680","26,253,500","33,303,408"
Tennessee,Firms,"100,720","10,775","45,340","18,080","11,076","85,271","10,025","2,560","97,856","2,864"
,Establishments,"130,556","10,803","45,395","18,251","11,747","86,196","13,226","6,788","106,210","24,346"
,Employment,"2,291,504",0,"98,114","118,162","147,052","363,328","367,592","301,963","1,032,883","1,258,621"
,"Annual Payroll ($1,000)","71,271,826","545,202","2,360,779","2,941,385","3,996,734","9,844,100","10,698,020","9,223,077","29,765,197","41,506,629"
,"Receipts ($1,000)","426,551,559","3,202,574","15,118,838","14,789,402","18,289,246","51,400,060","50,511,475","45,144,429","147,055,964","279,495,595"
Texas,Firms,"373,059","45,632","171,026","66,757","41,396","324,811","35,435","7,872","368,118","4,941"
,Establishments,"482,169","45,705","171,301","67,632","43,965","328,603","47,306","22,932","398,841","83,328"
,Employment,"7,993,559",0,"365,594","437,535","552,006","1,355,135","1,334,180","1,069,455","3,758,770","4,234,789"
,"Annual Payroll ($1,000)","277,847,486","2,597,097","10,451,558","11,992,322","15,753,788","40,794,765","39,308,238","34,582,530","114,685,533","163,161,953"
,"Receipts ($1,000)","1,750,781,946","13,949,307","63,753,259","60,026,859","75,159,907","212,889,332","205,654,352","179,586,136","598,129,820","1,152,652,126"
